y=588, rel_y=418, left=227, right=796, width=570
y=589, rel_y=419, left=227, right=796, width=570
y=590, rel_y=420, left=227, right=796, width=570
y=591, rel_y=421, left=227, right=796, width=570
y=592, rel_y=422, left=227, right=796, width=570
y=593, rel_y=423, left=227, right=796, width=570
y=594, rel_y=424, left=227, right=796, width=570
y=595, rel_y=425, left=227, right=796, width=570
y=596, rel_y=426, left=227, right=796, width=570
y=597, rel_y=427, left=227, right=796, width=570
y=598, rel_y=428, left=227, right=796, width=570
y=599, rel_y=429, left=227, right=796, width=570
y=600, rel_y=430, left=227, right=796, width=570
y=601, rel_y=431, left=227, right=796, width=570
y=602, rel_y=432, left=227, right=796, width=570
y=603, rel_y=433, left=227, right=796, width=570
y=604, rel_y=434, left=227, right=796, width=570
y=605, rel_y=435, left=227, right=796, width=570
y=606, rel_y=436, left=227, right=796, width=570
y=607, rel_y=437, left=227, right=796, width=570
y=608, rel_y=438, left=227, right=796, width=570
y=609, rel_y=439, left=227, right=796, width=570
y=610, rel_y=440, left=227, right=796, width=570
y=611, rel_y=441, left=227, right=796, width=570
y=612, rel_y=442, left=227, right=796, width=570
y=613, rel_y=443, left=227, right=796, width=570
y=614, rel_y=444, left=227, right=796, width=570
y=615, rel_y=445, left=227, right=796, width=570
y=616, rel_y=446, left=227, right=796, width=570
y=617, rel_y=447, left=227, right=796, width=570
y=618, rel_y=448, left=227, right=796, width=570
y=619, rel_y=449, left=227, right=796, width=570
y=620, rel_y=450, left=227, right=796, width=570
y=621, rel_y=451, left=227, right=796, width=570
y=622, rel_y=452, left=227, right=796, width=570
y=623, rel_y=453, left=227, right=796, width=570
y=624, rel_y=454, left=227, right=796, width=570
y=625, rel_y=455, left=227, right=796, width=570
y=626, rel_y=456, left=227, right=796, width=570
y=627, rel_y=457, left=227, right=796, width=570
y=628, rel_y=458, left=227, right=796, width=570
y=629, rel_y=459, left=227, right=796, width=570
y=630, rel_y=460, left=227, right=796, width=570
y=631, rel_y=461, left=227, right=796, width=570
y=632, rel_y=462, left=227, right=796, width=570
y=633, rel_y=463, left=227, right=796, width=570
y=634, rel_y=464, left=227, right=796, width=570
y=635, rel_y=465, left=227, right=796, width=570
y=636, rel_y=466, left=227, right=796, width=570
y=637, rel_y=467, left=227, right=796, width=570
y=638, rel_y=468, left=227, right=796, width=570
y=639, rel_y=469, left=227, right=796, width=570
y=640, rel_y=470, left=227, right=796, width=570
y=641, rel_y=471, left=227, right=796, width=570
y=642, rel_y=472, left=227, right=796, width=570
y=643, rel_y=473, left=227, right=796, width=570
y=644, rel_y=474, left=227, right=796, width=570
y=645, rel_y=475, left=227, right=796, width=570
y=646, rel_y=476, left=227, right=796, width=570
y=647, rel_y=477, left=227, right=796, width=570
y=648, rel_y=478, left=227, right=796, width=570
y=649, rel_y=479, left=227, right=796, width=570
y=650, rel_y=480, left=227, right=796, width=570
y=651, rel_y=481, left=227, right=796, width=570
y=652, rel_y=482, left=227, right=796, width=570
y=653, rel_y=483, left=227, right=796, width=570
y=654, rel_y=484, left=227, right=796, width=570
y=655, rel_y=485, left=227, right=796, width=570
y=656, rel_y=486, left=227, right=796, width=570
y=657, rel_y=487, left=227, right=796, width=570
y=658, rel_y=488, left=227, right=796, width=570
y=659, rel_y=489, left=227, right=796, width=570
y=660, rel_y=490, left=227, right=796, width=570
y=661, rel_y=491, left=227, right=796, width=570
y=662, rel_y=492, left=227, right=796, width=570
y=663, rel_y=493, left=227, right=796, width=570
y=664, rel_y=494, left=227, right=796, width=570
y=665, rel_y=495, left=227, right=796, width=570
y=666, rel_y=496, left=227, right=796, width=570
y=667, rel_y=497, left=227, right=796, width=570
y=668, rel_y=498, left=227, right=796, width=570
y=669, rel_y=499, left=227, right=796, width=570
y=670, rel_y=500, left=227, right=796, width=570
y=671, rel_y=501, left=227, right=796, width=570
y=672, rel_y=502, left=227, right=796, width=570
y=673, rel_y=503, left=227, right=796, width=570
y=674, rel_y=504, left=227, right=796, width=570
y=675, rel_y=505, left=227, right=796, width=570
y=676, rel_y=506, left=227, right=796, width=570
y=677, rel_y=507, left=227, right=796, width=570
y=678, rel_y=508, left=227, right=796, width=570
y=679, rel_y=509, left=227, right=796, width=570
y=680, rel_y=510, left=227, right=796, width=570
y=681, rel_y=511, left=227, right=796, width=570
y=682, rel_y=512, left=227, right=796, width=570
y=683, rel_y=513, left=255, right=767, width=513
y=684, rel_y=514, left=255, right=768, width=514
y=685, rel_y=515, left=255, right=767, width=513
y=686, rel_y=516, left=255, right=767, width=513
y=687, rel_y=517, left=255, right=767, width=513
y=688, rel_y=518, left=255, right=767, width=513
y=689, rel_y=519, left=255, right=767, width=513
y=690, rel_y=520, left=255, right=767, width=513
y=691, rel_y=521, left=256, right=767, width=512
y=692, rel_y=522, left=255, right=767, width=513
y=693, rel_y=523, left=255, right=767, width=513
y=694, rel_y=524, left=255, right=767, width=513
y=695, rel_y=525, left=256, right=767, width=512
y=696, rel_y=526, left=255, right=767, width=513
y=697, rel_y=527, left=256, right=767, width=512
y=698, rel_y=528, left=256, right=767, width=512
y=699, rel_y=529, left=256, right=767, width=512
y=700, rel_y=530, left=256, right=767, width=512
y=701, rel_y=531, left=256, right=767, width=512
y=702, rel_y=532, left=256, right=767, width=512
y=703, rel_y=533, left=256, right=767, width=512
y=704, rel_y=534, left=284, right=741, width=458
y=705, rel_y=535, left=284, right=739, width=456
y=706, rel_y=536, left=284, right=739, width=456
y=707, rel_y=537, left=284, right=739, width=456
y=708, rel_y=538, left=284, right=739, width=456
y=709, rel_y=539, left=284, right=739, width=456
y=710, rel_y=540, left=284, right=739, width=456
y=711, rel_y=541, left=284, right=739, width=456
y=712, rel_y=542, left=284, right=739, width=456
y=713, rel_y=543, left=284, right=739, width=456
y=714, rel_y=544, left=284, right=739, width=456
y=715, rel_y=545, left=284, right=739, width=456
y=716, rel_y=546, left=284, right=739, width=456
y=717, rel_y=547, left=284, right=739, width=456
y=718, rel_y=548, left=284, right=739, width=456
y=719, rel_y=549, left=284, right=739, width=456
y=720, rel_y=550, left=284, right=739, width=456
y=721, rel_y=551, left=284, right=739, width=456
y=722, rel_y=552, left=284, right=739, width=456
y=723, rel_y=553, left=284, right=739, width=456
y=724, rel_y=554, left=284, right=739, width=456
y=725, rel_y=555, left=284, right=739, width=456
y=726, rel_y=556, left=284, right=739, width=456
y=727, rel_y=557, left=284, right=739, width=456
y=728, rel_y=558, left=284, right=739, width=456
y=729, rel_y=559, left=284, right=739, width=456
y=730, rel_y=560, left=284, right=739, width=456
y=731, rel_y=561, left=284, right=739, width=456
y=732, rel_y=562, left=284, right=739, width=456
y=733, rel_y=563, left=384, right=639, width=256
y=734, rel_y=564, left=384, right=639, width=256
y=735, rel_y=565, left=384, right=639, width=256
y=736, rel_y=566, left=384, right=639, width=256
y=737, rel_y=567, left=384, right=639, width=256
y=738, rel_y=568, left=384, right=639, width=256
y=739, rel_y=569, left=384, right=639, width=256
y=740, rel_y=570, left=384, right=639, width=256
y=741, rel_y=571, left=383, right=639, width=257
y=742, rel_y=572, left=384, right=639, width=256
y=743, rel_y=573, left=383, right=639, width=257
y=744, rel_y=574, left=384, right=639, width=256
y=745, rel_y=575, left=384, right=639, width=256
y=746, rel_y=576, left=384, right=639, width=256
y=747, rel_y=577, left=383, right=639, width=257
y=748, rel_y=578, left=384, right=639, width=256
y=749, rel_y=579, left=384, right=639, width=256
y=750, rel_y=580, left=384, right=639, width=256
y=751, rel_y=581, left=384, right=639, width=256
y=752, rel_y=582, left=384, right=639, width=256
y=753, rel_y=583, left=384, right=639, width=256
y=754, rel_y=584, left=384, right=639, width=256
y=755, rel_y=585, left=384, right=639, width=256
y=756, rel_y=586, left=384, right=639, width=256
y=757, rel_y=587, left=384, right=639, width=256
y=758, rel_y=588, left=384, right=639, width=256
y=759, rel_y=589, left=384, right=639, width=256
y=760, rel_y=590, left=384, right=639, width=256
y=761, rel_y=591, left=384, right=639, width=256
y=762, rel_y=592, left=384, right=639, width=256
y=763, rel_y=593, left=384, right=639, width=256
y=764, rel_y=594, left=384, right=639, width=256
y=765, rel_y=595, left=384, right=639, width=256
y=766, rel_y=596, left=384, right=639, width=256
y=767, rel_y=597, left=384, right=639, width=256
y=768, rel_y=598, left=384, right=639, width=256
y=769, rel_y=599, left=384, right=639, width=256
y=770, rel_y=600, left=384, right=639, width=256
y=771, rel_y=601, left=384, right=639, width=256
y=772, rel_y=602, left=384, right=639, width=256
y=773, rel_y=603, left=384, right=639, width=256
y=774, rel_y=604, left=384, right=639, width=256
y=775, rel_y=605, left=384, right=639, width=256
y=776, rel_y=606, left=384, right=639, width=256
y=777, rel_y=607, left=384, right=639, width=256
