y=578, rel_y=485, left=204, right=773, width=570
y=579, rel_y=486, left=204, right=773, width=570
y=580, rel_y=487, left=204, right=773, width=570
y=581, rel_y=488, left=204, right=773, width=570
y=582, rel_y=489, left=204, right=773, width=570
y=583, rel_y=490, left=204, right=773, width=570
y=584, rel_y=491, left=2, right=773, width=772
y=585, rel_y=492, left=204, right=773, width=570
y=586, rel_y=493, left=204, right=773, width=570
y=587, rel_y=494, left=204, right=773, width=570
y=588, rel_y=495, left=204, right=773, width=570
y=589, rel_y=496, left=204, right=773, width=570
y=590, rel_y=497, left=204, right=773, width=570
y=591, rel_y=498, left=204, right=796, width=593
y=592, rel_y=499, left=204, right=796, width=593
y=593, rel_y=500, left=204, right=796, width=593
y=594, rel_y=501, left=204, right=796, width=593
y=595, rel_y=502, left=204, right=796, width=593
y=596, rel_y=503, left=204, right=796, width=593
y=597, rel_y=504, left=204, right=796, width=593
y=598, rel_y=505, left=204, right=796, width=593
y=599, rel_y=506, left=204, right=796, width=593
y=600, rel_y=507, left=204, right=796, width=593
y=601, rel_y=508, left=204, right=796, width=593
y=602, rel_y=509, left=204, right=796, width=593
y=603, rel_y=510, left=204, right=796, width=593
y=604, rel_y=511, left=204, right=796, width=593
y=605, rel_y=512, left=204, right=796, width=593
y=606, rel_y=513, left=204, right=796, width=593
y=607, rel_y=514, left=204, right=796, width=593
y=608, rel_y=515, left=146, right=796, width=651
y=609, rel_y=516, left=146, right=796, width=651
y=610, rel_y=517, left=204, right=796, width=593
y=611, rel_y=518, left=204, right=796, width=593
y=612, rel_y=519, left=204, right=796, width=593
y=613, rel_y=520, left=204, right=796, width=593
y=614, rel_y=521, left=204, right=796, width=593
y=615, rel_y=522, left=227, right=796, width=570
y=616, rel_y=523, left=225, right=796, width=572
y=617, rel_y=524, left=225, right=796, width=572
y=618, rel_y=525, left=225, right=796, width=572
y=619, rel_y=526, left=225, right=796, width=572
y=620, rel_y=527, left=225, right=796, width=572
y=621, rel_y=528, left=225, right=796, width=572
y=622, rel_y=529, left=225, right=796, width=572
y=623, rel_y=530, left=225, right=796, width=572
y=624, rel_y=531, left=227, right=796, width=570
y=625, rel_y=532, left=227, right=819, width=593
y=626, rel_y=533, left=227, right=819, width=593
y=627, rel_y=534, left=227, right=819, width=593
y=628, rel_y=535, left=227, right=819, width=593
y=629, rel_y=536, left=227, right=819, width=593
y=630, rel_y=537, left=227, right=819, width=593
y=631, rel_y=538, left=209, right=819, width=611
y=632, rel_y=539, left=227, right=819, width=593
y=633, rel_y=540, left=227, right=819, width=593
y=634, rel_y=541, left=227, right=819, width=593
y=635, rel_y=542, left=227, right=819, width=593
y=636, rel_y=543, left=227, right=819, width=593
y=637, rel_y=544, left=227, right=819, width=593
y=638, rel_y=545, left=272, right=819, width=548
y=639, rel_y=546, left=272, right=819, width=548
y=640, rel_y=547, left=272, right=819, width=548
y=641, rel_y=548, left=272, right=819, width=548
y=642, rel_y=549, left=272, right=819, width=548
y=643, rel_y=550, left=272, right=819, width=548
y=644, rel_y=551, left=272, right=819, width=548
y=645, rel_y=552, left=272, right=819, width=548
y=646, rel_y=553, left=272, right=819, width=548
y=647, rel_y=554, left=272, right=819, width=548
y=648, rel_y=555, left=272, right=819, width=548
y=649, rel_y=556, left=272, right=819, width=548
y=650, rel_y=557, left=272, right=819, width=548
y=651, rel_y=558, left=272, right=819, width=548
y=652, rel_y=559, left=272, right=819, width=548
y=653, rel_y=560, left=272, right=819, width=548
y=654, rel_y=561, left=272, right=819, width=548
y=655, rel_y=562, left=273, right=819, width=547
y=656, rel_y=563, left=273, right=819, width=547
y=657, rel_y=564, left=273, right=819, width=547
y=658, rel_y=565, left=272, right=819, width=548
y=659, rel_y=566, left=273, right=819, width=547
y=660, rel_y=567, left=284, right=819, width=536
y=661, rel_y=568, left=284, right=819, width=536
y=662, rel_y=569, left=284, right=819, width=536
y=663, rel_y=570, left=284, right=819, width=536
y=664, rel_y=571, left=284, right=819, width=536
