y=548, rel_y=376, left=257, right=766, width=510
y=549, rel_y=377, left=257, right=766, width=510
y=550, rel_y=378, left=257, right=787, width=531
y=551, rel_y=379, left=257, right=766, width=510
y=552, rel_y=380, left=257, right=766, width=510
y=553, rel_y=381, left=257, right=766, width=510
y=554, rel_y=382, left=257, right=787, width=531
y=555, rel_y=383, left=257, right=785, width=529
y=556, rel_y=384, left=250, right=784, width=535
y=557, rel_y=385, left=251, right=766, width=516
y=558, rel_y=386, left=251, right=766, width=516
y=559, rel_y=387, left=257, right=787, width=531
y=560, rel_y=388, left=252, right=766, width=515
y=561, rel_y=389, left=247, right=766, width=520
y=562, rel_y=390, left=257, right=766, width=510
y=563, rel_y=391, left=257, right=785, width=529
y=564, rel_y=392, left=257, right=766, width=510
y=565, rel_y=393, left=257, right=766, width=510
y=566, rel_y=394, left=257, right=766, width=510
y=567, rel_y=395, left=257, right=766, width=510
y=568, rel_y=396, left=263, right=787, width=525
y=569, rel_y=397, left=256, right=766, width=511
y=570, rel_y=398, left=256, right=785, width=530
y=571, rel_y=399, left=251, right=791, width=541
y=572, rel_y=400, left=247, right=787, width=541
y=573, rel_y=401, left=247, right=785, width=539
y=574, rel_y=402, left=239, right=785, width=547
y=575, rel_y=403, left=249, right=791, width=543
y=576, rel_y=404, left=244, right=785, width=542
y=577, rel_y=405, left=257, right=787, width=531
y=578, rel_y=406, left=244, right=789, width=546
y=579, rel_y=407, left=243, right=771, width=529
y=580, rel_y=408, left=257, right=790, width=534
y=581, rel_y=409, left=245, right=790, width=546
y=582, rel_y=410, left=257, right=785, width=529
y=583, rel_y=411, left=257, right=785, width=529
y=584, rel_y=412, left=257, right=791, width=535
y=585, rel_y=413, left=257, right=785, width=529
y=586, rel_y=414, left=257, right=785, width=529
y=587, rel_y=415, left=257, right=785, width=529
y=588, rel_y=416, left=232, right=785, width=554
y=589, rel_y=417, left=257, right=785, width=529
y=590, rel_y=418, left=231, right=766, width=536
y=591, rel_y=419, left=257, right=785, width=529
y=592, rel_y=420, left=257, right=786, width=530
y=593, rel_y=421, left=257, right=786, width=530
y=594, rel_y=422, left=257, right=785, width=529
y=595, rel_y=423, left=258, right=790, width=533
y=596, rel_y=424, left=258, right=791, width=534
y=597, rel_y=425, left=263, right=791, width=529
y=598, rel_y=426, left=236, right=790, width=555
y=599, rel_y=427, left=241, right=790, width=550
y=600, rel_y=428, left=231, right=766, width=536
y=601, rel_y=429, left=257, right=785, width=529
y=602, rel_y=430, left=257, right=791, width=535
y=603, rel_y=431, left=236, right=787, width=552
y=604, rel_y=432, left=235, right=790, width=556
y=605, rel_y=433, left=257, right=789, width=533
y=606, rel_y=434, left=258, right=790, width=533
y=607, rel_y=435, left=257, right=790, width=534
y=608, rel_y=436, left=257, right=785, width=529
y=609, rel_y=437, left=257, right=766, width=510
y=610, rel_y=438, left=257, right=785, width=529
y=611, rel_y=439, left=257, right=789, width=533
y=612, rel_y=440, left=257, right=785, width=529
y=613, rel_y=441, left=237, right=785, width=549
y=614, rel_y=442, left=257, right=787, width=531
y=615, rel_y=443, left=257, right=766, width=510
y=616, rel_y=444, left=257, right=784, width=528
y=617, rel_y=445, left=251, right=785, width=535
y=618, rel_y=446, left=240, right=790, width=551
y=619, rel_y=447, left=243, right=785, width=543
y=620, rel_y=448, left=230, right=785, width=556
y=621, rel_y=449, left=250, right=785, width=536
y=622, rel_y=450, left=248, right=790, width=543
y=623, rel_y=451, left=248, right=790, width=543
y=624, rel_y=452, left=242, right=785, width=544
y=625, rel_y=453, left=242, right=785, width=544
y=626, rel_y=454, left=241, right=788, width=548
y=627, rel_y=455, left=240, right=789, width=550
y=628, rel_y=456, left=240, right=790, width=551
y=629, rel_y=457, left=243, right=794, width=552
y=630, rel_y=458, left=242, right=794, width=553
y=631, rel_y=459, left=239, right=794, width=556
y=632, rel_y=460, left=242, right=786, width=545
y=633, rel_y=461, left=240, right=787, width=548
y=634, rel_y=462, left=257, right=787, width=531
y=635, rel_y=463, left=257, right=790, width=534
y=636, rel_y=464, left=240, right=793, width=554
y=637, rel_y=465, left=240, right=791, width=552
y=638, rel_y=466, left=262, right=790, width=529
y=639, rel_y=467, left=266, right=789, width=524
y=640, rel_y=468, left=248, right=790, width=543
y=641, rel_y=469, left=250, right=785, width=536
y=642, rel_y=470, left=265, right=790, width=526
y=643, rel_y=471, left=230, right=793, width=564
y=644, rel_y=472, left=230, right=790, width=561
y=645, rel_y=473, left=271, right=788, width=518
y=646, rel_y=474, left=266, right=788, width=523
y=647, rel_y=475, left=231, right=791, width=561
y=648, rel_y=476, left=268, right=791, width=524
y=649, rel_y=477, left=265, right=791, width=527
y=650, rel_y=478, left=262, right=790, width=529
y=651, rel_y=479, left=264, right=790, width=527
y=652, rel_y=480, left=231, right=790, width=560
y=653, rel_y=481, left=240, right=791, width=552
y=654, rel_y=482, left=230, right=791, width=562
y=655, rel_y=483, left=285, right=790, width=506
y=656, rel_y=484, left=234, right=791, width=558
y=657, rel_y=485, left=272, right=790, width=519
y=658, rel_y=486, left=231, right=753, width=523
y=659, rel_y=487, left=262, right=791, width=530
y=660, rel_y=488, left=262, right=790, width=529
y=661, rel_y=489, left=257, right=790, width=534
y=662, rel_y=490, left=232, right=790, width=559
y=663, rel_y=491, left=232, right=790, width=559
y=664, rel_y=492, left=256, right=790, width=535
y=665, rel_y=493, left=254, right=792, width=539
y=666, rel_y=494, left=249, right=768, width=520
y=667, rel_y=495, left=249, right=790, width=542
y=668, rel_y=496, left=249, right=788, width=540
y=669, rel_y=497, left=247, right=775, width=529
